/home/rgundaka/miniconda3/envs/CPINO/lib/python3.10/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram. Use `wandb login --relogin` to force relogin
loading data
data is loaded
using device: cuda:0
wandb: wandb version 0.12.19 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.18
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/CPINO/experiments/wave1D_PINO/wandb/run-20220627_220959-39v0emb5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run prime-dragon-13
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO-wave1D
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO-wave1D/runs/39v0emb5

  0% 0/500 [00:00<?, ?it/s]
L2 data loss: 0.00656 L2 ic loss: 0.00072 L2 f loss: 0.04079 loss: 0.10999 :   7% 36/500 [01:04<13:51,  1.79s/it]
L2 data loss: 0.00652 L2 ic loss: 0.00072 L2 f loss: 0.03907 loss: 0.10789 :   7% 36/500 [01:06<13:51,  1.79s/it]
L2 data loss: 0.00652 L2 ic loss: 0.00072 L2 f loss: 0.03907 loss: 0.10789 :   7% 37/500 [01:06<13:49,  1.79s/it]
L2 data loss: 0.00654 L2 ic loss: 0.00072 L2 f loss: 0.05846 loss: 0.12741 :   7% 37/500 [01:08<13:49,  1.79s/it]
L2 data loss: 0.00654 L2 ic loss: 0.00072 L2 f loss: 0.05846 loss: 0.12741 :   8% 38/500 [01:08<13:47,  1.79s/it]
L2 data loss: 0.00655 L2 ic loss: 0.00072 L2 f loss: 0.05242 loss: 0.12148 :   8% 38/500 [01:10<13:47,  1.79s/it]
L2 data loss: 0.00655 L2 ic loss: 0.00072 L2 f loss: 0.05242 loss: 0.12148 :   8% 39/500 [01:10<13:46,  1.79s/it]
L2 data loss: 0.00652 L2 ic loss: 0.00072 L2 f loss: 0.05593 loss: 0.12472 :   8% 39/500 [01:12<13:46,  1.79s/it]
L2 data loss: 0.00652 L2 ic loss: 0.00072 L2 f loss: 0.05593 loss: 0.12472 :   8% 40/500 [01:12<13:43,  1.79s/it]
L2 data loss: 0.00653 L2 ic loss: 0.00072 L2 f loss: 0.05741 loss: 0.12628 :   8% 40/500 [01:13<13:43,  1.79s/it]
L2 data loss: 0.00653 L2 ic loss: 0.00072 L2 f loss: 0.05741 loss: 0.12628 :   8% 41/500 [01:13<13:41,  1.79s/it]
L2 data loss: 0.00650 L2 ic loss: 0.00071 L2 f loss: 0.04812 loss: 0.11669 :   8% 41/500 [01:15<13:41,  1.79s/it]
L2 data loss: 0.00650 L2 ic loss: 0.00071 L2 f loss: 0.04812 loss: 0.11669 :   8% 42/500 [01:15<13:39,  1.79s/it]
L2 data loss: 0.00646 L2 ic loss: 0.00071 L2 f loss: 0.04568 loss: 0.11384 :   8% 42/500 [01:17<13:39,  1.79s/it]
L2 data loss: 0.00646 L2 ic loss: 0.00071 L2 f loss: 0.04568 loss: 0.11384 :   9% 43/500 [01:17<13:38,  1.79s/it]
L2 data loss: 0.00641 L2 ic loss: 0.00070 L2 f loss: 0.03808 loss: 0.10567 :   9% 43/500 [01:19<13:38,  1.79s/it]
L2 data loss: 0.00641 L2 ic loss: 0.00070 L2 f loss: 0.03808 loss: 0.10567 :   9% 44/500 [01:19<13:36,  1.79s/it]
L2 data loss: 0.00637 L2 ic loss: 0.00070 L2 f loss: 0.03670 loss: 0.10392 :   9% 44/500 [01:21<13:36,  1.79s/it]
L2 data loss: 0.00637 L2 ic loss: 0.00070 L2 f loss: 0.03670 loss: 0.10392 :   9% 45/500 [01:21<13:34,  1.79s/it]
L2 data loss: 0.00635 L2 ic loss: 0.00070 L2 f loss: 0.03543 loss: 0.10239 :   9% 45/500 [01:22<13:34,  1.79s/it]
L2 data loss: 0.00635 L2 ic loss: 0.00070 L2 f loss: 0.03543 loss: 0.10239 :   9% 46/500 [01:22<13:32,  1.79s/it]
L2 data loss: 0.00633 L2 ic loss: 0.00069 L2 f loss: 0.03490 loss: 0.10165 :   9% 46/500 [01:24<13:32,  1.79s/it]
