/home/rgundaka/miniconda3/envs/CPINO/lib/python3.10/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram. Use `wandb login --relogin` to force relogin
loading data
data is loaded
using device: cuda:0
/home/rgundaka/miniconda3/envs/CPINO/lib/python3.10/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram. Use `wandb login --relogin` to force relogin
loading data
data is loaded
using device: cuda:0
wandb: wandb version 0.12.19 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.18
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/CPINO/experiments/wave1D_no_data/wandb/run-20220628_153225-32z3ob9o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bumbling-flower-19
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO-wave1D
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO-wave1D/runs/32z3ob9o
wandb: wandb version 0.12.19 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.18
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/CPINO/experiments/wave1D_no_data/wandb/run-20220628_153226-37036elt
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ancient-forest-20
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO-wave1D
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO-wave1D/runs/37036elt

  0% 0/500 [00:00<?, ?it/s]
L2 data loss: 0.04932 L2 ic loss: 0.00544 L2 f loss: 0.00533 loss: 0.03251 :  10% 48/500 [01:25<13:21,  1.77s/it]
L2 data loss: 0.04946 L2 ic loss: 0.00545 L2 f loss: 0.00600 loss: 0.03326 :  10% 48/500 [01:27<13:21,  1.77s/it]
L2 data loss: 0.04946 L2 ic loss: 0.00545 L2 f loss: 0.00600 loss: 0.03326 :  10% 49/500 [01:27<13:19,  1.77s/it]
L2 data loss: 0.04927 L2 ic loss: 0.00543 L2 f loss: 0.00507 loss: 0.03222 :  10% 49/500 [01:29<13:19,  1.77s/it]
L2 data loss: 0.04927 L2 ic loss: 0.00543 L2 f loss: 0.00507 loss: 0.03222 :  10% 50/500 [01:29<13:17,  1.77s/it]
L2 data loss: 0.04903 L2 ic loss: 0.00540 L2 f loss: 0.00485 loss: 0.03188 :  10% 50/500 [01:30<13:17,  1.77s/it]
L2 data loss: 0.04903 L2 ic loss: 0.00540 L2 f loss: 0.00485 loss: 0.03188 :  10% 51/500 [01:30<13:14,  1.77s/it]
L2 data loss: 0.04875 L2 ic loss: 0.00537 L2 f loss: 0.00508 loss: 0.03195 :  10% 51/500 [01:32<13:14,  1.77s/it]
L2 data loss: 0.04875 L2 ic loss: 0.00537 L2 f loss: 0.00508 loss: 0.03195 :  10% 52/500 [01:32<13:12,  1.77s/it]
L2 data loss: 0.04852 L2 ic loss: 0.00535 L2 f loss: 0.00476 loss: 0.03150 :  10% 52/500 [01:34<13:12,  1.77s/it]
L2 data loss: 0.04852 L2 ic loss: 0.00535 L2 f loss: 0.00476 loss: 0.03150 :  11% 53/500 [01:34<13:10,  1.77s/it]
L2 data loss: 0.04830 L2 ic loss: 0.00532 L2 f loss: 0.00472 loss: 0.03134 :  11% 53/500 [01:36<13:10,  1.77s/it]
L2 data loss: 0.04830 L2 ic loss: 0.00532 L2 f loss: 0.00472 loss: 0.03134 :  11% 54/500 [01:36<13:08,  1.77s/it]
L2 data loss: 0.04830 L2 ic loss: 0.00532 L2 f loss: 0.00571 loss: 0.03233 :  11% 54/500 [01:37<13:08,  1.77s/it]
L2 data loss: 0.04830 L2 ic loss: 0.00532 L2 f loss: 0.00571 loss: 0.03233 :  11% 55/500 [01:37<13:05,  1.77s/it]
L2 data loss: 0.04800 L2 ic loss: 0.00529 L2 f loss: 0.00524 loss: 0.03169 :  11% 55/500 [01:39<13:05,  1.77s/it]
L2 data loss: 0.04800 L2 ic loss: 0.00529 L2 f loss: 0.00524 loss: 0.03169 :  11% 56/500 [01:39<13:03,  1.77s/it]
L2 data loss: 0.04768 L2 ic loss: 0.00526 L2 f loss: 0.00492 loss: 0.03120 :  11% 56/500 [01:41<13:03,  1.77s/it]
L2 data loss: 0.04768 L2 ic loss: 0.00526 L2 f loss: 0.00492 loss: 0.03120 :  11% 57/500 [01:41<13:02,  1.77s/it]
L2 data loss: 0.04733 L2 ic loss: 0.00522 L2 f loss: 0.00404 loss: 0.03013 :  11% 57/500 [01:43<13:02,  1.77s/it]
L2 data loss: 0.04733 L2 ic loss: 0.00522 L2 f loss: 0.00404 loss: 0.03013 :  12% 58/500 [01:43<13:00,  1.77s/it]
L2 data loss: 0.04734 L2 ic loss: 0.00522 L2 f loss: 0.00470 loss: 0.03079 :  12% 58/500 [01:45<13:00,  1.77s/it]
L2 data loss: 0.04734 L2 ic loss: 0.00522 L2 f loss: 0.00470 loss: 0.03079 :  12% 59/500 [01:45<12:58,  1.76s/it]
L2 data loss: 0.04725 L2 ic loss: 0.00521 L2 f loss: 0.00551 loss: 0.03155 :  12% 59/500 [01:46<12:58,  1.76s/it]
L2 data loss: 0.04725 L2 ic loss: 0.00521 L2 f loss: 0.00551 loss: 0.03155 :  12% 60/500 [01:46<12:56,  1.77s/it]
L2 data loss: 0.04726 L2 ic loss: 0.00521 L2 f loss: 0.00392 loss: 0.02998 :  12% 60/500 [01:48<12:56,  1.77s/it]
L2 data loss: 0.04726 L2 ic loss: 0.00521 L2 f loss: 0.00392 loss: 0.02998 :  12% 61/500 [01:48<12:54,  1.76s/it]
L2 data loss: 0.04655 L2 ic loss: 0.00513 L2 f loss: 0.00463 loss: 0.03029 :  12% 61/500 [01:50<12:54,  1.76s/it]
L2 data loss: 0.04655 L2 ic loss: 0.00513 L2 f loss: 0.00463 loss: 0.03029 :  12% 62/500 [01:50<12:52,  1.76s/it]
L2 data loss: 0.04661 L2 ic loss: 0.00514 L2 f loss: 0.00509 loss: 0.03079 :  12% 62/500 [01:52<12:52,  1.76s/it]
L2 data loss: 0.04661 L2 ic loss: 0.00514 L2 f loss: 0.00509 loss: 0.03079 :  13% 63/500 [01:52<12:50,  1.76s/it]
L2 data loss: 0.04652 L2 ic loss: 0.00513 L2 f loss: 0.00517 loss: 0.03082 :  13% 63/500 [01:53<12:50,  1.76s/it]
L2 data loss: 0.04652 L2 ic loss: 0.00513 L2 f loss: 0.00517 loss: 0.03082 :  13% 64/500 [01:53<12:48,  1.76s/it]
L2 data loss: 0.04649 L2 ic loss: 0.00513 L2 f loss: 0.00633 loss: 0.03196 :  13% 64/500 [01:55<12:48,  1.76s/it]
L2 data loss: 0.04649 L2 ic loss: 0.00513 L2 f loss: 0.00633 loss: 0.03196 :  13% 65/500 [01:55<12:46,  1.76s/it]
L2 data loss: 0.04613 L2 ic loss: 0.00509 L2 f loss: 0.00405 loss: 0.02948 :  13% 65/500 [01:57<12:46,  1.76s/it]
L2 data loss: 0.04613 L2 ic loss: 0.00509 L2 f loss: 0.00405 loss: 0.02948 :  13% 66/500 [01:57<12:44,  1.76s/it]
